RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	s148944	chr9	133082567	134642566	1560000	1826	61.6
RG	s148944	chr9	136717627	136755902	38276	148	30.6
RG	s149202	chr9	77365497	79391215	2025719	319	23.9
RG	s149202	chr9	83243122	90023164	6780043	2210	59.5
RG	s149202	chr9	93069242	93267730	198489	194	14.9
RG	s149202	chr9	113111598	113220936	109339	193	48.0
RG	s149202	chr9	114062612	114156114	93503	104	31.5
RG	s149202	chr9	127317989	128424504	1106516	1803	62.7
RG	s149202	chr9	128428165	129122991	694827	1468	48.7
RG	s149202	chr9	129127935	130432252	1304318	1135	66.4
RG	s149202	chr9	130448939	133061861	2612923	2343	62.8
RG	s149202	chr9	133071636	135521369	2449734	2758	75.2
RG	s149202	chr9	135546213	135623947	77735	117	58.4
RG	s149202	chr9	135764943	136327111	562169	548	41.6
RG	s149202	chr9	136340913	136992484	651572	1768	67.0
RG	s149202	chr9	137007714	137096078	88365	422	25.7
RG	s149202	chr9	137105705	137220655	114951	323	20.4
RG	s149202	chr9	137225153	138174662	949510	1283	61.9
RG	s149206	chr9	12693893	13927790	1233898	331	12.1
RG	s149206	chr9	16552504	17388084	835581	140	7.9
RG	s149206	chr9	97121926	97524085	402160	331	39.2
RG	s149206	chr9	99024797	99127945	103149	134	31.8
RG	s149206	chr9	108990711	109241495	250785	260	11.1
RG	s149206	chr9	134822102	135549412	727311	578	63.6
RG	s150817	chr9	367916	399011	31096	71	21.8
RG	s150817	chr9	20715278	21140815	425538	302	25.3
RG	s150817	chr9	27524239	32384827	4860589	147	6.4
RG	s150817	chr9	33986816	34306187	319372	183	9.0
RG	s150817	chr9	35669664	35818278	148615	529	23.3
RG	s150817	chr9	85547015	92210634	6663620	1916	50.0
RG	s150817	chr9	92240806	97365432	5124627	2919	55.3
RG	s150817	chr9	97428421	99127945	1699525	1190	60.0
RG	s150817	chr9	99218085	100308501	1090417	287	7.0
RG	s150817	chr9	112220183	112574195	354013	155	9.7
RG	s150817	chr9	113166121	113207143	41023	139	11.5
RG	s150817	chr9	124339645	124490952	151308	187	26.0
RG	s150817	chr9	124493169	128160573	3667405	2413	60.7
RG	s151079	chr9	12098	463438	451341	399	63.8
RG	s151079	chr9	676704	2028859	1352156	249	50.0
RG	s151079	chr9	2717647	3828078	1110432	285	3.8
RG	s151079	chr9	12693893	13927790	1233898	332	25.0
RG	s151079	chr9	14756256	15000553	244298	240	7.9
RG	s151079	chr9	19550062	19619504	69443	35	23.5
RG	s151079	chr9	93629737	94064841	435105	171	26.8
RG	s151079	chr9	101407984	109420302	8012319	2357	53.8
RG	s151079	chr9	113161570	113256112	94543	175	18.2
RG	s151079	chr9	133205290	133318242	112953	154	23.5
RG	s151084	chr9	2622019	4490760	1868742	513	53.2
RG	s151084	chr9	69718250	70590970	872721	368	6.1
RG	s151084	chr9	88647300	91214149	2566850	453	30.4
RG	s151084	chr9	114587612	114790391	202780	64	10.7
RG	s151084	chr9	121455855	122723934	1268080	599	53.1
RG	s151084	chr9	122749711	128420928	5671218	3834	57.1
RG	s151084	chr9	128492474	129803415	1310942	1536	48.6
RG	s151084	chr9	131096760	131260668	163909	235	33.0
RG	s151084	chr9	137775338	138043680	268343	230	18.7
RG	s151151	chr9	33926498	34178886	252389	182	16.4
RG	s151151	chr9	93460335	93819611	359277	241	20.1
RG	s151151	chr9	121135821	121341115	205295	328	43.6
RG	s151151	chr9	133082450	133205200	122751	195	20.5
RG	s151161	chr9	111327501	111686593	359093	429	67.0
RG	s151161	chr9	113166121	113207143	41023	139	11.5
RG	s151161	chr9	135546213	135623947	77735	109	55.6
RG	s151162	chr9	12098	463438	451341	431	52.4
RG	s151162	chr9	729968	14398287	13668320	3146	53.2
RG	s151162	chr9	19573308	19619504	46197	24	29.8
RG	s151162	chr9	20862507	21140815	278309	200	14.6
RG	s151162	chr9	85547015	85942059	395045	210	8.1
RG	s151162	chr9	93107500	93447550	340051	280	14.7
RG	s151162	chr9	94760540	95875956	1115417	345	17.0
RG	s151162	chr9	101398594	102578169	1179576	232	18.3
RG	s151162	chr9	120952657	121281522	328866	485	25.9
RG	s151162	chr9	137225153	137301731	76579	256	25.9
RG	s151162	chr9	137351175	138174701	823527	972	62.3
RG	s151165	chr9	8436560	14398287	5961728	561	46.3
RG	s151165	chr9	20862507	21140815	278309	200	14.6
RG	s151165	chr9	37422678	37919746	497069	499	28.3
RG	s151165	chr9	37974746	40223311	2248566	361	28.0
RG	s151165	chr9	72149711	72627817	478107	108	12.9
RG	s151165	chr9	84670595	85942059	1271465	299	12.8
RG	s151165	chr9	93107500	93447550	340051	277	9.1
RG	s151165	chr9	94760540	95875956	1115417	345	17.0
RG	s151165	chr9	127402714	127531503	128790	295	29.2
RG	s151165	chr9	137478135	138174605	696471	711	41.8
RG	s151173	chr9	893833	2028859	1135027	82	3.7
RG	s151173	chr9	5768895	6328440	559546	275	6.6
RG	s151173	chr9	6420739	7046700	625962	381	32.6
RG	s151173	chr9	18474067	19515923	1041857	762	60.4
RG	s151173	chr9	20346537	21304660	958124	518	32.3
RG	s151173	chr9	21440419	33134864	11694446	1637	58.8
RG	s151173	chr9	33794721	33886964	92244	232	26.2
RG	s151173	chr9	104694339	104784213	89875	100	17.4
RG	s151173	chr9	113151054	113220936	69883	186	44.7
RG	s151173	chr9	122371228	122723934	352707	244	31.4
RG	s151173	chr9	135546213	135549360	3148	48	46.6
RG	s151192	chr9	32525917	32784069	258153	188	4.3
RG	s151192	chr9	114162660	114250577	87918	156	9.0
RG	s151192	chr9	133544407	133636404	91998	92	32.3
RG	s151733	chr9	379643	449698	70056	152	17.8
RG	s151733	chr9	18474067	18706617	232551	91	10.7
RG	s151733	chr9	34178891	34397399	218509	193	17.9
RG	s151733	chr9	77177748	81913426	4735679	875	52.4
RG	s151733	chr9	82431896	87919001	5487106	1739	57.1
RG	s151733	chr9	87922225	97343059	9420835	3813	68.4
RG	s151733	chr9	97347306	104095349	6748044	2160	62.2
RG	s151733	chr9	108878232	109106418	228187	438	20.9
RG	s151733	chr9	128803427	128907063	103637	139	8.3
RG	s151733	chr9	128916023	129107705	191683	449	26.4
RG	s151733	chr9	137065726	137097924	32199	102	41.2
RG	s151733	chr9	137426190	137564374	138185	336	45.6
RG	s151736	chr9	5522602	6413398	890797	432	19.8
RG	s151736	chr9	76703221	76710321	7101	91	12.8
RG	s151736	chr9	83623361	84278043	654683	365	37.2
RG	s151736	chr9	97428421	98124543	696123	512	33.4
RG	s151736	chr9	111327501	112574195	1246695	919	50.1
RG	s151736	chr9	112687692	114466087	1778396	1815	66.0
RG	s151736	chr9	114587612	116153914	1566303	327	45.2
RG	s151736	chr9	122510779	122614563	103785	91	2.7
RG	s151739	chr9	405075	740592	335518	245	18.2
RG	s151739	chr9	35546586	35669514	122929	252	18.9
RG	s151739	chr9	42795423	60915753	18120331	36	10.8
RG	s151739	chr9	70610541	71446784	836244	125	9.7
RG	s151739	chr9	104598313	104694338	96026	120	35.9
RG	s151739	chr9	113221260	113328797	107538	150	24.1
RG	s151758	chr9	33887012	34178886	291875	228	13.3
RG	s151758	chr9	75891220	87919001	12027782	3474	64.1
RG	s151758	chr9	87944258	96336645	8392388	3223	65.1
RG	s151758	chr9	101535474	104095349	2559876	216	13.2
RG	s151758	chr9	113151054	113220936	69883	188	27.0
RG	s151769	chr9	77647589	81584432	3936844	316	33.0
RG	s151769	chr9	82982716	89604981	6622266	2284	58.9
RG	s151769	chr9	92379759	92713365	333607	283	19.1
RG	s151769	chr9	93185544	94760433	1574890	845	52.5
RG	s151769	chr9	126832453	127402539	570087	313	32.8
RG	s151769	chr9	129809063	130200522	391460	471	42.2
RG	s151769	chr9	131009433	133019709	2010277	1835	58.0
RG	s151769	chr9	133082450	133205200	122751	187	42.5
RG	s151769	chr9	133255699	135756813	2501115	2838	75.1
RG	s151769	chr9	135764943	135783936	18994	92	45.0
RG	s151769	chr9	135811591	137048660	1237070	2547	56.9
RG	s151769	chr9	137064689	137167296	102608	353	29.6
RG	s151769	chr9	137180132	138174534	994403	1436	58.7
RG	s151788	chr9	69234419	69254100	19682	78	12.7
RG	s151788	chr9	76823459	77423861	600403	441	12.3
RG	s151788	chr9	99218085	99826690	608606	65	4.7
RG	s151788	chr9	104882929	105297207	414279	24	5.6
RG	s151788	chr9	111712982	111897363	184382	112	12.7
RG	s151788	chr9	127872665	128063281	190617	181	13.3
RG	s151788	chr9	129612367	129908786	296420	404	22.9
RG	s151831	chr9	33662221	34088560	426340	441	44.3
RG	s151831	chr9	35680964	35792320	111357	376	14.3
RG	s151831	chr9	76292162	76308435	16274	34	11.8
RG	s151831	chr9	77237993	77647581	409589	339	17.7
RG	s151831	chr9	93629737	93673594	43858	129	9.7
RG	s151831	chr9	97121926	97524085	402160	330	40.1
RG	s151831	chr9	110244148	110451188	207041	272	21.1
RG	s151831	chr9	114069681	114624244	554564	807	67.1
RG	s151831	chr9	134730192	134772587	42396	135	21.9
RG	s151831	chr9	134880753	135075735	194983	125	7.1
RG	s151833	chr9	2622019	7165154	4543136	2006	58.3
RG	s151833	chr9	87944258	88426449	482192	112	11.8
RG	s151833	chr9	92379759	92713365	333607	283	17.4
RG	s151833	chr9	97032843	97591238	558396	398	33.8
RG	s151833	chr9	97853887	98199382	345496	260	25.2
RG	s151833	chr9	108869367	109033221	163855	356	11.7
RG	s151833	chr9	128063485	128272886	209402	429	11.3
RG	s151833	chr9	137811344	138022939	211596	194	19.2
RG	s151834	chr9	5522602	5906812	384211	233	16.2
RG	s151834	chr9	18675974	19116248	440275	411	41.8
RG	s151834	chr9	21304695	21930901	626207	201	5.4
RG	s151834	chr9	61854358	62532348	677991	20	18.4
RG	s151834	chr9	70535339	70827718	292380	146	18.0
RG	s151834	chr9	97121926	97428401	306476	246	37.4
RG	s151834	chr9	101573111	102578169	1005059	75	14.7
RG	s151834	chr9	110875382	111631351	755970	419	12.4
RG	s151834	chr9	113266337	113368091	101755	145	18.6
RG	s151834	chr9	120245028	121074903	829876	694	34.6
RG	s151834	chr9	124853426	125843632	990207	635	39.2
RG	s151834	chr9	128986859	129612322	625464	443	31.4
RG	s151883	chr9	12098	414600	402503	284	50.1
RG	s151883	chr9	79391531	81584432	2192902	106	3.8
RG	s151883	chr9	90862473	91214149	351677	64	22.9
RG	s151883	chr9	93185544	93447550	262007	218	7.4
RG	s151883	chr9	120988996	121973887	984892	711	33.5
RG	s151883	chr9	122510779	122614563	103785	91	4.9
RG	s151885	chr9	34178891	34397399	218509	194	7.1
RG	s151885	chr9	38395841	38527023	131183	47	6.7
RG	s151885	chr9	87641912	87882811	240900	271	26.1
RG	s151885	chr9	111370417	111756262	385846	544	41.9
RG	s151885	chr9	113182896	113316699	133804	228	21.7
RG	s151885	chr9	114330017	114423274	93258	249	13.3
RG	s151885	chr9	127434984	127651521	216538	268	15.3
RG	s151885	chr9	128702888	129719092	1016205	1046	37.3
RG	s151894	chr9	92494015	92809549	315535	240	11.9
RG	s151894	chr9	108862487	108902675	40189	132	46.0
RG	s151894	chr9	108903448	109080681	177234	294	35.5
RG	s151894	chr9	115020362	115291184	270823	174	8.8
RG	s151894	chr9	120517958	121281522	763565	804	27.2
RG	s151894	chr9	135693573	135714596	21024	62	44.8
RG	s151894	chr9	135742704	135777245	34542	138	49.2
RG	s151894	chr9	137710750	137834261	123512	150	11.4
RG	s151914	chr9	5629223	6328440	699218	378	20.9
RG	s151914	chr9	32466192	32629985	163794	163	8.9
RG	s151914	chr9	77647589	79391215	1743627	209	15.7
RG	s151914	chr9	85547015	87919001	2371987	979	43.6
RG	s151914	chr9	87944258	89604981	1660724	506	33.0
RG	s151914	chr9	90023328	93653086	3629759	1708	53.0
RG	s151914	chr9	93658108	96910153	3252046	1325	48.1
RG	s151914	chr9	97428421	109119070	11690650	3856	65.6
RG	s151914	chr9	109174452	114466087	5291636	3792	64.9
RG	s151914	chr9	114587612	116153914	1566303	329	51.6
RG	s151914	chr9	122510779	122614563	103785	91	3.7
RG	s151914	chr9	126481254	127332020	850767	269	10.1
RG	s151914	chr9	133205290	133341343	136054	201	20.7
RG	s151914	chr9	136348516	136465893	117378	591	18.8
RG	s151927	chr9	12098	433566	421469	353	52.8
RG	s151927	chr9	676704	2028859	1352156	250	71.6
RG	s151927	chr9	6420739	6644551	223813	253	13.1
RG	s151927	chr9	18795306	19086579	291274	270	30.0
RG	s151927	chr9	33887012	34286372	399361	320	31.1
RG	s151927	chr9	97524102	98094700	570599	411	13.3
RG	s151927	chr9	109046152	109279645	233494	272	15.3
RG	s151927	chr9	122510779	122723934	213156	157	31.5
RG	s151927	chr9	136355594	136417872	62279	358	53.2
RG	s151927	chr9	136421961	136438382	16422	82	29.1
RG	s151927	chr9	136886741	137064648	177908	617	31.6
RG	s151942	chr9	19340954	19395779	54826	131	16.9
RG	s151942	chr9	32384827	32541381	156555	228	14.8
RG	s151942	chr9	76292162	76302244	10083	31	8.2
RG	s151942	chr9	97460109	98056728	596620	420	24.2
RG	s151942	chr9	121317228	121973887	656660	273	11.3
RG	s151942	chr9	134727349	134761698	34350	93	34.5
RG	s152049	chr9	17747056	20346227	2599172	917	65.9
RG	s152049	chr9	33104542	33441662	337121	317	34.1
RG	s152049	chr9	34917854	35147565	229712	358	25.6
RG	s152049	chr9	92032592	92522479	489888	607	13.6
RG	s152049	chr9	99128698	100225952	1097255	252	11.2
RG	s152049	chr9	104816042	104855631	39590	127	17.5
RG	s152050	chr9	4604050	4661752	57703	86	32.5
RG	s152050	chr9	20715278	20976299	261022	191	8.2
RG	s152050	chr9	34917854	35147565	229712	359	19.3
RG	s152050	chr9	75891220	90023164	14131945	4121	63.1
RG	s152050	chr9	92600278	92809549	209272	169	19.3
RG	s152050	chr9	108869367	109780401	911035	829	51.3
RG	s152050	chr9	112220183	112574195	354013	163	10.7
RG	s152050	chr9	129081004	129321809	240806	230	39.4
RG	s152050	chr9	135546213	135693495	147283	202	22.1
RG	s152051	chr9	34917854	35147565	229712	359	25.7
RG	s152051	chr9	42076840	42567858	491019	76	33.6
RG	s152051	chr9	69718250	70131479	413230	127	10.7
RG	s152051	chr9	70610541	71446784	836244	127	10.6
RG	s152051	chr9	79391531	81584432	2192902	108	5.9
RG	s152051	chr9	113876471	119166930	5290460	1626	69.4
RG	s152051	chr9	120988996	121566885	577890	588	33.7
RG	s152051	chr9	122199810	131260668	9060859	7883	68.3
RG	s155540	chr9	19032763	19276134	243372	242	6.6
RG	s155540	chr9	74948171	75891150	942980	177	31.2
RG	s155540	chr9	93229756	93447550	217795	211	3.2
RG	s155540	chr9	97599580	98109898	510319	395	24.3
RG	s155540	chr9	113408826	113583268	174443	212	44.3
RG	s155540	chr9	132275229	132482199	206971	234	11.7
RG	s155540	chr9	133656262	133783403	127142	239	11.9
RG	s155541	chr9	19032763	19276134	243372	242	6.4
RG	s155541	chr9	42076840	42567858	491019	74	4.7
RG	s155541	chr9	75053970	75077162	23193	49	9.2
RG	s155541	chr9	87844737	87882811	38075	47	11.6
RG	s155541	chr9	91694221	92846053	1151833	933	53.2
RG	s155541	chr9	95446162	96108607	662446	289	8.7
RG	s155541	chr9	97853667	97983515	129849	97	19.8
RG	s155541	chr9	108889219	109090774	201556	389	32.1
RG	s155541	chr9	109106457	109241495	135039	127	9.0
RG	s155541	chr9	113150962	113220936	69975	190	45.9
RG	s155541	chr9	114355965	114466087	110123	173	11.4
RG	s155541	chr9	122510779	122614563	103785	91	9.5
RG	s155541	chr9	133205290	133359866	154577	347	33.6
RG	s161929	chr9	19550062	19619504	69443	35	23.5
RG	s161929	chr9	34286488	34610557	324070	285	12.9
RG	s161929	chr9	91636224	92240662	604439	260	13.0
RG	s161929	chr9	112220183	112804670	584488	218	18.3
RG	s161929	chr9	122510779	122614563	103785	91	4.9
RG	s161929	chr9	128683928	128907063	223136	392	17.3
RG	s162117	chr9	35546586	35718693	172108	484	25.0
RG	s162117	chr9	108862487	108915971	53485	172	7.7
RG	s162117	chr9	112220183	112804670	584488	219	9.9
RG	s162117	chr9	122519232	122614563	95332	75	10.5
RG	s163722	chr9	19516092	19619504	103413	57	19.6
RG	s163722	chr9	93629737	93819611	189875	153	22.7
RG	s163722	chr9	124692355	125045029	352675	318	18.2
RG	s163722	chr9	127034472	127383345	348874	222	14.3
RG	s163722	chr9	129036982	129136262	99281	244	18.5
RG	s163722	chr9	131556090	131860455	304366	147	13.4
RG	s163733	chr9	33618161	33750465	132305	108	9.6
RG	s163733	chr9	33794721	34124986	330266	441	45.5
RG	s163733	chr9	34178891	34610557	431667	375	19.0
RG	s163733	chr9	42076840	60915753	18838914	127	10.4
RG	s163733	chr9	96235428	96910153	674726	411	12.4
RG	s163733	chr9	97121926	104504090	7382165	2510	61.9
RG	s163733	chr9	133042095	133120982	78888	290	14.1
RG	s163733	chr9	135521527	135561674	40148	114	52.6
RG	s163741	chr9	12693893	16418869	3724977	1283	50.1
RG	s163741	chr9	19032763	19332219	299457	298	15.6
RG	s163741	chr9	19340954	19515923	174970	162	23.8
RG	s163741	chr9	19550062	19619504	69443	35	22.9
RG	s163741	chr9	33794721	33886964	92244	232	26.9
RG	s163741	chr9	74948171	75891150	942980	176	27.2
RG	s163741	chr9	79391531	91636168	12244638	2955	60.6
RG	s163741	chr9	99034446	99127945	93500	125	30.9
RG	s163741	chr9	122092601	122723934	631334	418	49.9
RG	s163741	chr9	122749711	124888178	2138468	1188	38.9
RG	s163741	chr9	124898590	126832421	1933832	678	44.3
RG	s163741	chr9	134782495	134825653	43159	232	17.2
RG	s163741	chr9	136952394	137016806	64413	266	16.4
RG	s163742	chr9	33794721	33886964	92244	232	26.6
RG	s163742	chr9	69336167	69718232	382066	132	7.6
RG	s163742	chr9	76292162	76350764	58603	92	37.1
RG	s163742	chr9	77177524	77647581	470058	424	40.8
RG	s163742	chr9	79391531	81913426	2521896	242	18.1
RG	s163742	chr9	81988791	91636168	9647378	2645	53.2
RG	s163742	chr9	97121926	105245088	8123163	3106	64.6
RG	s163742	chr9	112142316	112804670	662355	246	10.9
RG	s163742	chr9	122092601	122723934	631334	420	36.5
RG	s163742	chr9	122749711	124888178	2138468	1204	43.0
RG	s163742	chr9	124898590	126832421	1933832	678	45.6
RG	s172395	chr9	19516092	19619504	103413	56	21.4
RG	s172395	chr9	35057340	35546328	488989	473	16.6
RG	s172395	chr9	37302189	37588818	286630	260	9.5
RG	s172395	chr9	42076840	60935805	18858966	122	18.1
RG	s172395	chr9	81585442	85546985	3961544	1164	45.3
RG	s172395	chr9	114330017	116154060	1824044	631	49.3
RG	s172395	chr9	120437456	120904837	467382	354	19.2
RG	s172395	chr9	120988996	121281522	292527	395	20.0
RG	s172395	chr9	124853426	125227815	374390	359	32.3
RG	s172395	chr9	127578821	127803047	224227	417	28.0
RG	s172395	chr9	128423016	128818465	395450	857	31.7
RG	s172395	chr9	128907069	129321809	414741	610	26.9
RG	s172395	chr9	135546213	135549779	3567	54	58.1
RG	s172396	chr9	117268	426737	309470	294	56.7
RG	s172396	chr9	15171924	18622114	3450191	856	53.3
RG	s172396	chr9	19516092	19619504	103413	57	21.8
RG	s172396	chr9	76703221	77177522	474302	173	34.2
RG	s172396	chr9	87605005	87844673	239669	253	14.4
RG	s172396	chr9	108854527	113388397	4533871	3115	64.3
RG	s172396	chr9	124853697	125438819	585123	547	31.2
RG	s172396	chr9	126615340	127353758	738419	283	8.3
RG	s172396	chr9	129807253	129852344	45092	116	29.1
RG	s172397	chr9	16552504	17457438	904935	180	10.1
RG	s172397	chr9	19516092	19619504	103413	57	21.2
RG	s172397	chr9	20862507	21140815	278309	200	11.1
RG	s172397	chr9	33887012	34178886	291875	227	13.7
RG	s172397	chr9	111631531	111897363	265833	225	27.2
RG	s172397	chr9	124853631	125227815	374185	358	29.9
RG	s172397	chr9	127568817	127843069	274253	541	28.0
RG	s172397	chr9	128423016	128818465	395450	860	30.9
RG	s172397	chr9	129739564	133019709	3280146	3240	61.5
RG	s172397	chr9	133082450	133205200	122751	197	15.5
RG	s172397	chr9	133255699	134317246	1061548	1495	73.7
RG	s172397	chr9	134379472	134649356	269885	96	9.2
RG	s172397	chr9	136945334	137007706	62373	187	13.4
RG	s173796	chr9	2635472	3828078	1192607	403	7.4
RG	s173796	chr9	19516092	19619504	103413	57	20.5
RG	s173796	chr9	27180162	27330477	150316	191	16.4
RG	s173796	chr9	72356012	74497825	2141814	275	11.9
RG	s173796	chr9	79391531	81584432	2192902	106	18.3
RG	s173796	chr9	86221588	96910153	10688566	4188	62.2
RG	s173796	chr9	96948928	109780401	12831474	4498	65.5
RG	s173796	chr9	127383385	127516735	133351	310	38.6
RG	s173796	chr9	129081004	129142329	61326	185	23.9
RG	s173797	chr9	33524329	33794674	270346	213	12.4
RG	s173797	chr9	33887012	34343286	456275	352	26.9
RG	s173797	chr9	78300476	87919001	9618526	2313	59.8
RG	s173797	chr9	87944258	90843809	2899552	539	51.5
RG	s173797	chr9	96108745	97279328	1170584	521	15.0
RG	s173797	chr9	97428421	97983515	555095	402	22.7
RG	s173797	chr9	101613436	104504090	2890655	297	15.4
RG	s173797	chr9	125142461	126335028	1192568	419	12.0
RG	s173798	chr9	38527120	39809441	1282322	277	15.4
RG	s173798	chr9	79391531	81584432	2192902	106	6.8
RG	s173798	chr9	83739701	84278043	538343	255	12.4
RG	s173798	chr9	99128698	100441865	1313168	396	22.5
RG	s173798	chr9	110404512	110469009	64498	188	10.4
RG	s173798	chr9	112220183	112804670	584488	212	7.7
RG	s173798	chr9	112997035	113220936	223902	260	45.5
RG	s173798	chr9	121281589	121566885	285297	188	19.2
RG	s173798	chr9	127383385	127568816	185432	346	12.1
RG	s173798	chr9	136739327	136822041	82715	253	10.2
RG	s173799	chr9	676704	841768	165065	150	16.8
RG	s173799	chr9	6241645	6644551	402907	307	12.9
RG	s173799	chr9	32457066	32629985	172920	173	9.6
RG	s173799	chr9	101535474	102578169	1042696	142	18.7
RG	s173799	chr9	111699878	112041351	341474	196	30.5
RG	s173799	chr9	120605116	121019916	414801	403	15.2
RG	s173799	chr9	132261977	132331515	69539	159	30.8
RG	s173800	chr9	4117782	8317710	4199929	1560	54.1
RG	s173800	chr9	77647589	79391215	1743627	206	9.4
RG	s173800	chr9	96235428	96758641	523214	282	24.9
RG	s173800	chr9	104504102	104694338	190237	199	23.2
RG	s173800	chr9	133703190	133805896	102707	208	18.5
RG	s173800	chr9	136116448	136802609	686162	1427	77.4
RG	s177839	chr9	271572	405020	133449	204	23.9
RG	s177839	chr9	12693893	13927790	1233898	332	59.8
RG	s177839	chr9	93185544	93629708	444165	343	22.4
RG	s177839	chr9	97983620	98220786	237167	230	24.6
RG	s177839	chr9	115020362	116153914	1133553	210	27.7
RG	s177839	chr9	127317989	127516735	198747	399	33.4
RG	s177839	chr9	127578816	127818060	239245	488	24.4
RG	s177839	chr9	132261977	132326284	64308	108	20.8
RG	s177852	chr9	271572	2028859	1757288	584	65.4
RG	s177852	chr9	105297280	112041351	6744072	2700	60.2
RG	s177852	chr9	128455347	128555470	100124	196	22.9
RG	s177859	chr9	42076840	42567858	491019	66	8.6
RG	s177859	chr9	87700015	87919001	218987	281	6.2
RG	s177859	chr9	97853715	97983515	129801	84	10.5
RG	s177859	chr9	122510779	122820264	309486	275	17.9
RG	s177859	chr9	131009486	133019709	2010224	1849	65.1
RG	s177859	chr9	133042095	133534773	492679	1222	69.5
RG	s177896	chr9	34343289	34832779	489491	575	43.8
RG	s177896	chr9	72052132	72627817	575686	126	14.7
RG	s177896	chr9	78300487	81599832	3299346	209	32.5
RG	s177896	chr9	97599580	97983515	383936	283	9.3
RG	s177896	chr9	107283415	107485552	202138	88	13.1
RG	s177896	chr9	111631866	111914510	282645	229	27.8
RG	s177896	chr9	112220183	112574195	354013	155	9.7
RG	s177896	chr9	113166121	113207143	41023	139	8.9
RG	s177896	chr9	127424770	127516735	91966	233	8.6
RG	s177896	chr9	137505960	137697247	191288	184	16.7
RG	s178221	chr9	19550062	19619504	69443	35	23.3
RG	s178221	chr9	76614609	77351208	736600	544	34.6
RG	s178221	chr9	93629737	93819611	189875	152	22.7
RG	s178221	chr9	97546397	97983515	437119	317	13.1
RG	s178221	chr9	120245028	121013841	768814	622	34.5
RG	s178221	chr9	122510779	122628520	117742	102	5.2
RG	s178221	chr9	131580200	131860455	280256	134	31.9
RG	s178221	chr9	134880753	135075735	194983	125	4.8
RG	s178221	chr9	135086514	135521369	434856	213	16.6
RG	s178221	chr9	135750162	135772493	22332	115	6.7
RG	s178223	chr9	23692501	33533466	9840966	1908	51.8
RG	s178223	chr9	33547801	34832779	1284979	1339	73.2
RG	s178223	chr9	34917854	39073709	4155856	2791	65.8
RG	s178223	chr9	42076840	60916402	18839563	171	57.0
RG	s178223	chr9	68247599	77280096	9032498	2844	62.9
RG	s178223	chr9	77293357	79391215	2097859	466	46.2
RG	s178223	chr9	111327501	111914510	587010	627	57.6
RG	s178223	chr9	112220183	112804670	584488	216	15.7
RG	s178223	chr9	113157652	113220936	63285	170	24.7
RG	s178223	chr9	122510779	122614563	103785	91	2.6
RG	s178223	chr9	127291114	127651521	360408	453	46.4
RG	s178225	chr9	286567	2028859	1742293	588	68.8
RG	s178225	chr9	33750561	33886964	136404	239	35.1
RG	s178225	chr9	76292162	76308435	16274	34	10.2
RG	s178225	chr9	94278955	94657447	378493	266	28.4
RG	s178225	chr9	96108745	97279328	1170584	520	30.1
RG	s178225	chr9	102995267	104504090	1508824	218	6.7
RG	s178225	chr9	120968993	121566885	597893	629	26.3
RG	s178225	chr9	127886315	128239234	352920	449	14.9
RG	s178225	chr9	133205290	133318242	112953	154	17.0
RG	s178225	chr9	136509936	137231952	722017	1934	77.1
RG	s178225	chr9	137235838	137383288	147451	319	31.0
RG	s178226	chr9	18770581	19086579	315999	309	22.1
RG	s178226	chr9	34917854	35546328	628475	564	32.8
RG	s178226	chr9	121094813	121281522	186710	265	21.7
RG	s178226	chr9	129036982	129142329	105348	253	23.3
RG	s178226	chr9	133255699	133261190	5492	64	51.1
RG	s178226	chr9	134379472	134642566	263095	96	11.5
RG	s178226	chr9	136376273	136472025	95753	502	12.1
RG	s179763	chr9	19550062	19619504	69443	35	14.0
RG	s179763	chr9	33794721	33886964	92244	232	26.9
RG	s179763	chr9	97121926	97428401	306476	247	37.9
RG	s179763	chr9	104569053	104694338	125286	141	28.9
RG	s179763	chr9	112220183	112574195	354013	159	10.7
RG	s179763	chr9	133318281	133375922	57642	237	11.9
RG	s179785	chr9	34178891	34400952	222062	201	9.3
RG	s179785	chr9	42795584	60915753	18120170	83	21.0
RG	s179785	chr9	94278955	94558845	279891	170	16.8
RG	s179785	chr9	100296894	101185340	888447	203	22.2
RG	s179785	chr9	112098736	112574195	475460	216	14.0
RG	s179785	chr9	133318281	133375922	57642	237	13.7
RG	s181379	chr9	6980996	7798307	817312	107	4.6
RG	s181379	chr9	19516092	26101304	6585213	1009	51.2
RG	s181379	chr9	87447908	114323246	26875339	11785	67.9
RG	s181379	chr9	114330017	119166930	4836914	967	52.6
RG	s181379	chr9	120245028	122628520	2383493	1678	56.5
RG	s181379	chr9	124873698	125438819	565122	488	26.0
RG	s181379	chr9	129612367	130397648	785282	949	64.2
RG	s181379	chr9	130911554	132572281	1660728	1441	63.9
RG	s181379	chr9	132725675	133019709	294035	254	7.9
RG	s181379	chr9	135624027	135785397	161371	323	29.2
RG	s181379	chr9	135788017	136193050	405034	314	51.2
RG	s30488	chr9	16685469	17747056	1061588	167	16.7
RG	s30488	chr9	96758687	97460100	701414	311	10.4
RG	s30699	chr9	17747066	19032857	1285792	222	41.4
RG	s30699	chr9	20346548	21140917	794370	273	22.3
